year,day,language(s)
2015,1,python;haskell
2015,2,python;haskell
2015,3,python
2015,4,python
2015,5,python
2015,6,python
2015,7,python
2015,8,python
2015,9,python
2015,10,python
2019,1,javascript;python
2019,2,javascript
2019,3,javascript
2019,4,javascript
2019,5,javascript;python
2019,6,javascript
2019,7,javascript
2019,8,javascript
2020,1,python;haskell
2020,2,python;haskell
2020,3,python;haskell
2020,4,python
2020,5,python
2020,6,python
2020,7,python
2020,8,python
2020,9,python
2020,10,python
2020,11,python
2020,12,python
2020,13,python
2020,14,python
2020,15,python
2020,16,python
2020,17,python
2020,18,python
